#x       CXcorr
1.50000025     0.001906225574
1.50000045     0.004539675079
1.50000065     0.003378536552
1.50000085     0.001492753858
1.50000105     0.004618333653
1.50000125     0.003457478248
1.50000145     0.0008362728986
1.50000165     0.0002383070241
1.50000185     0.0001167126247
1.50000205     0.0001028585393
1.50000225     0.0001721200533
1.50000245     0.001710904995
1.50000265     0.005777559709
1.50000285     0.003831316484
1.50000305     0.004808672238
1.50000325     0.005640516989
1.50000345     0.00531063322
1.50000365     0.004453063011
1.50000385     0.003127311822
1.50000405     0.001754635246
1.50000425     0.002183511853
1.50000445     0.003161014291
1.50000465     0.004215635825
1.50000485     0.004333668388
1.50000505     0.004865325522
1.50000525     0.004849763587
1.50000545     0.005342811812
1.50000565     0.005313234404
1.50000585     0.004995920695
1.50000605     0.004488036968
1.50000625     0.003675274085
1.50000645     0.003761498723
1.50000665     0.003892511129
1.50000685     0.0047138175
1.50000705     0.004584187642
1.50000725     0.004359715153
1.50000745     0.00311707193
1.50000765     0.001486096415
1.50000785     0.001172877732
1.50000805     0.0019835399
1.50000825     0.002133167116
1.50000845     0.002419529483
1.50000865     0.002134680981
1.50000885     0.003186090384
1.50000905     0.004027786199
1.50000925     0.005338338669
1.50000945     0.005838541314
1.50000965     0.00662550237
1.50000985     0.007200375665
1.50001005     0.007717033383
1.50001025     0.008248094469
1.50001045     0.00772850262
1.50001065     0.007549820933
1.50001085     0.006625988055
1.50001105     0.006453687791
1.50001125     0.005812378135
1.50001145     0.005471793935
1.50001165     0.00510936277
1.50001185     0.004951234441
1.50001205     0.004932431038
1.50001225     0.004747749772
1.50001245     0.004857365042
1.50001265     0.004553544335
1.50001285     0.004836849868
1.50001305     0.00445488235
1.50001325     0.004604899324
1.50001345     0.003853659146
1.50001365     0.003850423964
1.50001385     0.003347358201
1.50001405     0.003485806286
1.50001425     0.003287604544
1.50001445     0.003345628968
1.50001465     0.003387085861
1.50001485     0.003249054076
1.50001505     0.003264863743
1.50001525     0.003112633014
1.50001545     0.003767510876
1.50001565     0.004062423948
1.50001585     0.004834298976
1.50001605     0.004489390645
1.50001625     0.004047919996
1.50001645     0.003105250653
1.50001665     0.001715587103
1.50001685     0.001030946732
1.50001705     0.0006009174394
1.50001725     0.0006971093244
1.50001745     0.001432782039
