# X         A1         A2
  1.50000025         0.02074992843          0.009834929369
  1.50000045         0.0494158715          0.01276329625
  1.50000065         0.03677664325          0.01566126011
  1.50000085         0.01624914818          0.01426306553
  1.50000105         0.05027218163          0.01139125414
  1.50000125         0.03763572872          0.002831640188
  1.50000145         0.009103132412          0.01080700289
  1.50000165         0.002594063757          0.003662334755
  1.50000185         0.001270459965          0.001343156211
  1.50000205         0.001119654975          0.0001556139032
  1.50000225         0.001873590983          0.001893124776
  1.50000245         0.01862377673          0.0146184396
  1.50000265         0.06289089471          0.05221729726
  1.50000285         0.04170525074          0.0349275656
  1.50000305         0.05234406888          0.01491197664
  1.50000325         0.06139907613          0.01819387823
  1.50000345         0.05780819803          0.01981518418
  1.50000365         0.04847314209          0.02412291616
  1.50000385         0.03404196724          0.0212033242
  1.50000405         0.01909983531          0.01854376309
  1.50000425         0.02376820892          0.01448016707
  1.50000445         0.0344088003          0.006755327806
  1.50000465         0.0458888039          0.008117721416
  1.50000485         0.04717360437          0.01364158653
  1.50000505         0.05296081305          0.02229566686
  1.50000525         0.05279140174          0.02476719767
  1.50000545         0.05815836415          0.02922970988
  1.50000565         0.05783661827          0.02416203357
  1.50000585         0.05438241363          0.0167146381
  1.50000605         0.0488538146          0.007973423228
  1.50000625         0.04000681266          0.006625022739
  1.50000645         0.04094538465          0.01158964075
  1.50000665         0.04237136245          0.01737099886
  1.50000685         0.05131166056          0.02115450986
  1.50000705         0.0499006696          0.02691508085
  1.50000725         0.04745708779          0.03458607197
  1.50000745         0.03393041715          0.03489460796
  1.50000765         0.01617673598          0.03613112494
  1.50000785         0.01276719943          0.02915612236
  1.50000805         0.02159152366          0.02199766785
  1.50000825         0.02322038822          0.02092015557
  1.50000845         0.02633739449          0.01724011078
  1.50000865         0.02323684841          0.01927828044
  1.50000885         0.03468164429          0.02227387391
  1.50000905         0.04384405911          0.02222998627
  1.50000925         0.05810986459          0.02429281734
  1.50000945         0.06355454773          0.01841511577
  1.50000965         0.07212091982          0.01676749066
  1.50000985         0.07837893814          0.01273041498
  1.50001005         0.08400281519          0.01149454247
  1.50001025         0.08978337795          0.007330770139
  1.50001045         0.08412776887          0.006434824318
  1.50001065         0.08218232542          0.01358192042
  1.50001085         0.0721263662          0.0264378991
  1.50001105         0.07025084645          0.03487285972
  1.50001125         0.06326966733          0.03747405484
  1.50001145         0.05956262723          0.03926759586
  1.50001165         0.05561742187          0.03186930344
  1.50001185         0.05389590189          0.02894246392
  1.50001205         0.05369126052          0.02117776498
  1.50001225         0.05168105289          0.01615170203
  1.50001245         0.05287415162          0.008648506366
  1.50001265         0.04956717417          0.008858540095
  1.50001285         0.05265099183          0.01404260751
  1.50001305         0.0484928973          0.02500924468
  1.50001325         0.05012598261          0.02965190262
  1.50001345         0.04194857553          0.03219141066
  1.50001365         0.04191327095          0.03263842314
  1.50001385         0.03643729165          0.02514486201
  1.50001405         0.03794427216          0.02161965147
  1.50001425         0.03578683734          0.01226854697
  1.50001445         0.03641847149          0.01247609127
  1.50001465         0.03686972335          0.01094964147
  1.50001485         0.03536714613          0.01955572143
  1.50001505         0.03553931043          0.02465888299
  1.50001525         0.03388208523          0.03672621399
  1.50001545         0.04101087525          0.04086572677
  1.50001565         0.04422102123          0.04298502952
  1.50001585         0.05262314901          0.04044475406
  1.50001605         0.04886875674          0.03198354319
  1.50001625         0.04406316578          0.02922321111
  1.50001645         0.03380187601          0.02215938084
  1.50001665         0.018674789          0.02075351961
  1.50001685         0.01122222561          0.02174503729
  1.50001705         0.006541196723          0.02136725932
  1.50001725         0.007588287815          0.02632846311
  1.50001745         0.01559636369          0.02794595622
  1.50001765         0.02055692114          0.02401299402
  1.50001785         0.02547129057          0.02444834262
  1.50001805         0.03150262684          0.02007528394
  1.50001825         0.02858342417          0.02153699473
  1.50001845         0.02895808406          0.01924239844
  1.50001865         0.02754607797          0.01450885832
  1.50001885         0.02346418239          0.01213911176
  1.50001905         0.02649763227          0.004963533487
  1.50001925         0.02541706152          0.002997801406
  1.50001945         0.02867503464          0.004135777708
  1.50001965         0.03166253865          0.002107758773
  1.50001985         0.03196070716          0.00665301038
  1.50002005         0.03733837232          0.005402100738
  1.50002025         0.03677259013          0.002437844872
  1.50002045         0.04235234484          0.002497479087
  1.50002065         0.04167362675          0.01147690602
  1.50002085         0.04908726737          0.01621144637
  1.50002105         0.05107427761          0.0220231209
  1.50002125         0.06159197539          0.02464050055
  1.50002145         0.06855238974          0.02280147001
  1.50002165         0.07714409381          0.02624713443
  1.50002185         0.0803450644          0.02344172448
  1.50002205         0.07280352712          0.02641264535
  1.50002225         0.06646967679          0.02294295467
  1.50002245         0.05222570524          0.01821935549
  1.50002265         0.04472232237          0.01399360877
  1.50002285         0.03640500829          0.006713006645
  1.50002305         0.02800639533          0.006509080995
  1.50002325         0.02502497286          0.001188651426
  1.50002345         0.02175826766          0.00358107104
  1.50002365         0.0244905334          0.008968099952
  1.50002385         0.02974753082          0.0143347159
  1.50002405         0.02841539681          0.01396599412
  1.50002425         0.03338474035          0.01676315814
  1.50002445         0.0307165198          0.01244181581
  1.50002465         0.03132729605          0.01222736947
  1.50002485         0.02585830353          0.01043854002
  1.50002505         0.01902295277          0.007459797431
  1.50002525         0.01522601955          0.008955992758
  1.50002545         0.01330161002          0.006553572603
  1.50002565         0.01646910794          0.006868537515
  1.50002585         0.02589329146          0.01135895308
  1.50002605         0.039344877          0.01142745838
  1.50002625         0.05005799606          0.01423600595
  1.50002645         0.06126978993          0.0204166472
  1.50002665         0.06277722865          0.02415256947
  1.50002685         0.06892517954          0.03500481322
  1.50002705         0.07048204541          0.03928783536
  1.50002725         0.07625440508          0.04448180646
  1.50002745         0.07880531251          0.04596074298
  1.50002765         0.07516569644          0.04405344278
  1.50002785         0.07461286336          0.04550468922
  1.50002805         0.06732887775          0.04046864808
  1.50002825         0.065914087          0.04119791463
  1.50002845         0.05773770809          0.03641897067
  1.50002865         0.04753858224          0.03835172951
  1.50002885         0.03674426675          0.035904333
  1.50002905         0.02276962809          0.03144391626
  1.50002925         0.01955000311          0.02615469322
  1.50002945         0.01820915379          0.01579432376
  1.50002965         0.02613836154          0.01239276119
  1.50002985         0.02540225349          0.01005556807
  1.50003005         0.02813143842          0.008363432251
  1.50003025         0.02441603318          0.01314747985
  1.50003045         0.01803309284          0.01195456646
  1.50003065         0.01518884394          0.01217871346
  1.50003085         0.009751809761          0.01168328617
  1.50003105         0.01530700736          0.007139609195
  1.50003125         0.01677471027          0.008679305203
  1.50003145         0.0227259621          0.006729150657
  1.50003165         0.02017016709          0.0125721721
  1.50003185         0.02171786502          0.01310206298
  1.50003205         0.0266327709          0.01820334606
  1.50003225         0.03215712309          0.01566450112
  1.50003245         0.04496747628          0.01247220766
  1.50003265         0.05637993664          0.01739414781
  1.50003285         0.08304326981          0.04687444866
  1.50003305         0.1063790619          0.07482863218
  1.50003325         0.132511273          0.1016661897
  1.50003345         0.1438526064          0.1150554493
  1.50003365         0.1406564713          0.1165316999
  1.50003385         0.1305491626          0.1161807179
  1.50003405         0.1130601987          0.1108143851
  1.50003425         0.1012091637          0.109270215
  1.50003445         0.07656000555          0.09296225011
  1.50003465         0.05337514728          0.06747485697
  1.50003485         0.04064340144          0.03654189035
  1.50003505         0.07161872089          0.02222694829
  1.50003525         0.1007979363          0.04372893274
  1.50003545         0.1260423511          0.06473651528
  1.50003565         0.1301572919          0.06847270578
  1.50003585         0.1239920706          0.06373393536
  1.50003605         0.1117377654          0.05580486357
  1.50003625         0.09397274256          0.04472928867
  1.50003645         0.08685015142          0.04259857535
  1.50003665         0.07491651922          0.03865621984
  1.50003685         0.06832384318          0.04333269596
