#x       aXcorr
1.50000025     0.002466586884
1.50000045     0.005874172319
1.50000065     0.004371723626
1.50000085     0.00193157827
1.50000105     0.00597596541
1.50000125     0.004473846406
1.50000145     0.001082109171
1.50000165     0.0003083627671
1.50000185     0.0001510225411
1.50000205     0.0001330959349
1.50000225     0.0002227178629
1.50000245     0.002213849686
1.50000265     0.007476006169
1.50000285     0.004957602825
1.50000305     0.006222269498
1.50000325     0.007298662793
1.50000345     0.006871816237
1.50000365     0.005762114655
1.50000385     0.004046634305
1.50000405     0.002270443132
1.50000425     0.0028253817
1.50000445     0.004090253264
1.50000465     0.005454912316
1.50000485     0.005607616156
1.50000505     0.006295569707
1.50000525     0.006275438704
1.50000545     0.006913410965
1.50000565     0.006875160616
1.50000585     0.006464567501
1.50000605     0.005807369947
1.50000625     0.004755706061
1.50000645     0.004867266864
1.50000665     0.005036784336
1.50000685     0.006099553779
1.50000705     0.005931790918
1.50000725     0.005641338881
1.50000745     0.004033378325
1.50000765     0.001922967611
1.50000785     0.001517667435
1.50000805     0.002566637471
1.50000825     0.002760264091
1.50000845     0.003130789148
1.50000865     0.002762218006
1.50000885     0.004122689832
1.50000905     0.005211849231
1.50000925     0.006907652132
1.50000945     0.007554875687
1.50000965     0.008573190309
1.50000985     0.009317074902
1.50001005     0.00998557359
1.50001025     0.01067275368
1.50001045     0.01000044215
1.50001065     0.009769201279
1.50001085     0.008573804051
1.50001105     0.008350878023
1.50001125     0.007521040738
1.50001145     0.007080350537
1.50001165     0.006611381192
1.50001185     0.006406745408
1.50001205     0.006382395513
1.50001225     0.006143450271
1.50001245     0.006285258569
1.50001265     0.005892173853
1.50001285     0.006258727983
1.50001305     0.005764461122
1.50001325     0.005958588328
1.50001345     0.004986511078
1.50001365     0.004982332699
1.50001385     0.004331379198
1.50001405     0.004510534462
1.50001425     0.004254058469
1.50001445     0.004329142161
1.50001465     0.00438278215
1.50001485     0.004204172641
1.50001505     0.004224628676
1.50001525     0.004027638119
1.50001545     0.004875064828
1.50001565     0.005256644916
1.50001585     0.006255439483
1.50001605     0.005809143651
1.50001625     0.005237869453
1.50001645     0.004018109292
1.50001665     0.002219916321
1.50001685     0.001334012719
1.50001705     0.0007775659324
1.50001725     0.0009020371945
1.50001745     0.001853975235
1.50001765     0.002443650272
1.50001785     0.003027838888
1.50001805     0.003744793124
1.50001825     0.00339777302
1.50001845     0.003442316083
1.50001865     0.003274467308
1.50001885     0.002789239865
1.50001905     0.003149834927
1.50001925     0.003021372948
1.50001945     0.003408674151
1.50001965     0.003763796762
1.50001985     0.003799243597
1.50002005     0.004438497592
1.50002025     0.00437123701
1.50002045     0.005034517962
1.50002065     0.004953841679
1.50002085     0.005835107062
1.50002105     0.006071315147
1.50002125     0.007321585435
1.50002145     0.008148970082
1.50002165     0.009170326404
1.50002185     0.009550797753
1.50002205     0.008654297329
1.50002225     0.007901393808
1.50002245     0.006208182313
1.50002265     0.005316261668
1.50002285     0.00432754308
1.50002305     0.003329192521
1.50002325     0.002974780975
1.50002345     0.002586445305
1.50002365     0.002911239397
1.50002385     0.003536161734
1.50002405     0.003377786838
1.50002425     0.003968522884
1.50002445     0.003651340026
1.50002465     0.003723939415
1.50002485     0.003073836677
1.50002505     0.002261304529
1.50002525     0.001809953363
1.50002545     0.0015811919
1.50002565     0.001957724802
1.50002585     0.003077991074
1.50002605     0.00467701396
1.50002625     0.005950511899
1.50002645     0.007283265237
1.50002665     0.007462482434
1.50002685     0.008193300106
1.50002705     0.008378354833
1.50002725     0.009064545855
1.50002745     0.009367767721
1.50002765     0.008935102262
1.50002785     0.008869396523
1.50002805     0.008003519848
1.50002825     0.007835369557
1.50002845     0.006863416638
1.50002865     0.005651036277
1.50002885     0.004367882852
1.50002905     0.002706673462
1.50002925     0.002323955763
1.50002945     0.002164569451
1.50002965     0.003107126569
1.50002985     0.003019619966
1.50003005     0.003344045719
1.50003025     0.00290240394
1.50003045     0.002143637277
1.50003065     0.001805539359
1.50003085     0.001159220701
1.50003105     0.001819581841
1.50003125     0.001994052203
1.50003145     0.00270149135
1.50003165     0.002397670876
1.50003185     0.002581652952
1.50003205     0.003165896051
1.50003225     0.003822591621
1.50003245     0.005345385056
1.50003265     0.006702013314
1.50003285     0.009871549904
1.50003305     0.01264553331
1.50003325     0.01575193927
1.50003345     0.01710006408
1.50003365     0.01672018692
1.50003385     0.01551866531
1.50003405     0.01343975123
1.50003425     0.01203092281
1.50003445     0.009100870229
1.50003465     0.006344829686
1.50003485     0.004831377883
1.50003505     0.00851348415
1.50003525     0.01198212523
1.50003545     0.01498293597
1.50003565     0.01547210664
1.50003585     0.01473920047
1.50003605     0.0132825356
1.50003625     0.01117071696
1.50003645     0.01032407116
1.50003665     0.008905471303
1.50003685     0.00812181551
1.50003705     0.006849136669
1.50003725     0.005828478374
1.50003745     0.005144635681
1.50003765     0.004040418193
1.50003785     0.003874299815
1.50003805     0.004191052169
1.50003825     0.004440289456
1.50003845     0.005486066919
1.50003865     0.005809974857
1.50003885     0.006350087933
1.50003905     0.006975423079
1.50003925     0.006676608697
1.50003945     0.006788442843
1.50003965     0.005916514434
1.50003985     0.005804874469
1.50004005     0.004982346669
1.50004025     0.004110327922
1.50004045     0.003438862506
1.50004065     0.002733792644
1.50004085     0.003068542574
1.50004105     0.003499035491
1.50004125     0.003519947873
1.50004145     0.004306005314
1.50004165     0.004186520819
1.50004185     0.004516282585
1.50004205     0.00413124077
1.50004225     0.0046382742
1.50004245     0.005457875784
1.50004265     0.007151931524
1.50004285     0.00877186656
1.50004305     0.009612469934
1.50004325     0.009985084645
1.50004345     0.008876461536
1.50004365     0.008102687076
1.50004385     0.007127658464
1.50004405     0.008065332659
1.50004425     0.009223456495
1.50004445     0.01069979835
1.50004465     0.01130654849
1.50004485     0.01080727484
1.50004505     0.01041532401
1.50004525     0.009254856035
1.50004545     0.008910971694
1.50004565     0.007383590098
1.50004585     0.005431165919
1.50004605     0.003209898481
1.50004625     0.002094826428
1.50004645     0.003782703541
1.50004665     0.005921226926
1.50004685     0.006529836915
1.50004705     0.00662924163
1.50004725     0.00663410034
1.50004745     0.006047688425
1.50004765     0.006233019754
1.50004785     0.005293194205
1.50004805     0.004823059309
1.50004825     0.00378855411
1.50004845     0.003840165446
1.50004865     0.004658933263
1.50004885     0.006345249247
1.50004905     0.007784108631
1.50004925     0.007917226292
1.50004945     0.007951324806
1.50004965     0.006577762775
1.50004985     0.005320780911
1.50005005     0.004917193204
1.50005025     0.004219561815
1.50005045     0.003793739015
1.50005065     0.003418015782
1.50005085     0.00338396919
1.50005105     0.004661587533
1.50005125     0.005849689711
1.50005145     0.007614413276
1.50005165     0.008352358826
1.50005185     0.00974504184
1.50005205     0.01047471166
1.50005225     0.01139708981
1.50005245     0.01119892113
1.50005265     0.009709673934
1.50005285     0.007819452323
1.50005305     0.004799001385
1.50005325     0.003172324738
1.50005345     0.002244130475
1.50005365     0.002997681266
1.50005385     0.002656536642
1.50005405     0.002139360877
1.50005425     0.001261271653
1.50005445     0.00203299406
1.50005465     0.003796599805
1.50005485     0.005896303803
1.50005505     0.006477003451
1.50005525     0.006752969697
1.50005545     0.006046964787
1.50005565     0.004316607025
1.50005585     0.003166071372
1.50005605     0.001401558868
1.50005625     0.0006203936064
1.50005645     0.00103838637
1.50005665     0.003395839129
1.50005685     0.005848743953
1.50005705     0.009366899729
1.50005725     0.01177722216
1.50005745     0.01348759513
1.50005765     0.0140379034
1.50005785     0.01328641083
1.50005805     0.01296167541
1.50005825     0.01180879585
1.50005845     0.01130095217
1.50005865     0.00953795854
1.50005885     0.008103712462
1.50005905     0.006524888333
1.50005925     0.005881193094
1.50005945     0.005532583687
1.50005965     0.00503387861
1.50005985     0.00429314049
